新闻频道,#genre#

TVBS HD,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv073
TVBS新闻台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv072
中天新闻,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv009
中天亚洲台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv109
台视新闻,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv051
华视新闻,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv052
台视财经,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv056
中视新闻,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv074
非凡新闻,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv010
镜新闻,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv075
东森新闻,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv152
东森财经新闻,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv153
半岛新闻,https://fm1077.serv00.net/litv.php?id=litv-ftv10
民视新闻台,https://fm1077.serv00.net/litv.php?id=litv-ftv13
民视台湾台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv001
寰宇新闻台,https://fm1077.serv00.net/litv.php?id=litv-longturn14
寰宇新闻台湾台,https://fm1077.serv00.net/litv.php?id=litv-longturn15
台视,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv066
民视,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv002
民视,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv155
中视,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv040
华视,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv041
民视台湾台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv156

影视频道,#genre#
影迷數位電影台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv011
AMC电影台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv017
CATCHPLAY电影台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv076
靖天电影台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv061
龙华电影,https://fm1077.serv00.net/litv.php?id=litv-longturn03
采昌影剧,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv049
民视影剧,https://fm1077.serv00.net/litv.php?id=litv-ftv09
龙华经典,https://fm1077.serv00.net/litv.php?id=litv-longturn21
中视经典,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv080
台湾戏剧台,https://fm1077.serv00.net/litv.php?id=litv-longturn22
靖洋戏剧台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv045
靖天戏剧台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv058
公视戏剧,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv042
龙华戏剧,https://fm1077.serv00.net/litv.php?id=litv-longturn18

体育频道,#genre#
智林体育台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv101
时尚运动X,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv014
靖天育乐台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv062
博斯魅力,https://fm1077.serv00.net/litv.php?id=litv-longturn04
博斯高球1,https://fm1077.serv00.net/litv.php?id=litv-longturn05
博斯高球2,https://fm1077.serv00.net/litv.php?id=litv-longturn06
博斯运动1,https://fm1077.serv00.net/litv.php?id=litv-longturn07
博斯运动2,https://fm1077.serv00.net/litv.php?id=litv-longturn08
博斯网球,https://fm1077.serv00.net/litv.php?id=litv-longturn09
博斯无限,https://fm1077.serv00.net/litv.php?id=litv-longturn10
博斯无限2,https://fm1077.serv00.net/litv.php?id=litv-longturn13
TRACE SPORTS STARS,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv077

综艺频道,#genre#
視納華仁紀實頻道,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv013
中视菁采,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv064
八大精彩台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv034
八大综艺台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv039
TVBS精采台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv067
TVBS欢乐台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv068
靖天欢乐台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv054
靖天综合台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv046
靖天资讯台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv065
靖天卡通台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv044
靖天日本台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv047
靖洋卡通台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv057
靖天国际台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv063
靖天映画,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv055
爱尔达娱乐,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv070
龙华卡通,https://fm1077.serv00.net/litv.php?id=litv-longturn01
龙华日韩,https://fm1077.serv00.net/litv.php?id=litv-longturn11
龙华偶像,https://fm1077.serv00.net/litv.php?id=litv-longturn12
民视综艺,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv004
民视第一台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv003
民视旅游,https://fm1077.serv00.net/litv.php?id=litv-ftv07
亚洲旅游台,https://fm1077.serv00.net/litv.php?id=litv-longturn17
客家电视台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv043
爱放动漫,https://fm1077.serv00.net/litv.php?id=litv-ftv15
古典音乐台,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv059
猪哥亮歌厅秀,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv006


其他频道,#genre#
Smart知识台,https://fm1077.serv00.net/litv.php?id=litv-longturn19
达文西频道,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv018
阿里郎,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv079
生活英语台,https://fm1077.serv00.net/litv.php?id=litv-longturn20
国际财经,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv104
美国之音,https://fm1077.serv00.net/litv.php?id=litv-ftv03
好消息,https://fm1077.serv00.net/litv.php?id=litv-ftv16
好消息2台,https://fm1077.serv00.net/litv.php?id=litv-ftv17
非凡商业,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv048
国会频道1,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv084
国会频道2,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv085
TRACE URBAN,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv082
MEZZO LIVE,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv083
GLOBETROTTER,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv016
GinxTV,https://fm1077.serv00.net/litv.php?id=4gtv-4gtv053

